Principio activo;Aptitud;Cultivos;Residuos (mg /Kg);Post Cosecha
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida - Hormiguicida);Banana (con cáscara);0.1;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida - Hormiquicida);Banana (pulpa);0.01;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Brócoli;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Cebada (grano consumo);0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Cebolla (consumo);Exento Pre S!;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Cebolla (consumo);0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Centeno (grano consumo);0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Cereza;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Ciruela;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Coliflor;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Damasco;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Durazno;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Cítricos en general;0.3;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Cítricos en general (sin cáscara);0.2;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Frutilla ;0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Girasol (aceite);0.1;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Girasol (Grano consumo);0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Granada;0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Guinda;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Haba;0.2;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Lino (forraje);1;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Maíz (grano consumo);0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Maíz dulce (grano consumo);0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Manzana;0.2;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Papa;0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Pasturas consociadas (leguminosas y gramíneas);4;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Pera;0.2;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Pimiento;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Repollo;0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Soja (aceite);0.1;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Soja (grano consumo);0.01;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Sorgo (grano consumo);0.05;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Tabaco ;Exento;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Tomate;0.5;
CLORPIRIFOS ETIL/CLORPIRIFOS;(Insecticida);Trigo (grano consumo);0.05;
CLORPROFAM / C.I.P.C;(Fitorregulador);Papa (lavada);10;Po
CLORSULFURON;(Herbicida);Barbecho químico;Exento;
CLORSULFURON;(Herbicida);Trigo (grano consumo);0.1;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Agropyron sp.;Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Avena (forraje);Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Cebada (forraje);Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Colza (forraje);Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Dactylis glomerata;Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Festuca arundinácea;Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Lolium multiflorum;Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Maíz (grano consumo);Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Phalaris canariensis;Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Sorgo (grano consumo);Exento;
CLOTHIANIDIN;(Insecticida - Tratamiento de semillas);Trigo (grano consumo);Exento;
CUMETETRALIL;(Rodenticida);;Exento;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida - Tratamiento de semillas);Girasol;Exento;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida - Tratamiento de semillas);Maíz (grano consumo);Exento;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida);Manzana;0.8;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida);Pera;0.8;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida);Papa;0.15;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida);Pimiento;3;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida - Tratamiento de semillas);Soja;Exento;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida);Tomate;1.5;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida);Zapallito de tronco;0.3;
CYANTRANILIPROLE (CYAZYPYR);(Insecticida);Zapallo (Calabaza);0.3;
CYAZOFAMID;(Fungicida);Papa ;0.14;
CYAZOFAMID;(Fungicida);Tomate;0.3;
CYCLANILIDE;(Fitorregulador - Defoliante);Algodón (semilla consumo);0.05;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Alfalfa (forraje);0.5;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Algodón (aceite);2;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Algodón (semilla consumo);1;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Arveja (grano consumo);0.1;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Coliflor;0.1;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Girasol (aceite);0.1;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Girasol (Grano consumo);0.05;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Manzana;0.5;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Pera;0.1;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Soja (aceite);0.1;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Soja (grano consumo);0.05;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Tomate;0.05;
CYFLUTRIN / CYFLUTRINA;(Insecticida);Trigo (grano consumo);0.1;
CYHEXATIN;(Acaricida)  ;Manzana;2;
CYHEXATIN;(Acaricida)  ;Pera;2;
CYHEXATIN;(Acaricida)  ;Florales y ornamentales;Exento;
CYMOXANIL;(Funguicida);Papa;0.05;
CYMOXANIL;(Funguicida);Uva ;0.2;
CYPROCONAZOLE;(Funguicida);Avena (grano consumo);0.02;
CYPROCONAZOLE;(Funguicida);Ajo (consumo);0.05;
CYPROCONAZOLE;(Funguicida);Cebada (grano consumo);0.05;
CYPROCONAZOLE;(Funguicida);Maíz (grano consumo);0.05;
CYPROCONAZOLE;(Funguicida);Maní (aceite);0.2;
CYPROCONAZOLE;(Funguicida);Maní (sin cáscara);0.05;
CYPROCONAZOLE;(Funguicida);Maní (con cáscara);0.1;
CYPROCONAZOLE;(Funguicida);Poroto (grano consumo);0.01;
CYPROCONAZOLE;(Funguicida);Soja (grano consumo);0.05;
CYPROCONAZOLE;(Funguicida);Sorgo (grano consumo);0.01;
CYPROCONAZOLE;(Funguicida);Trigo (grano consumo);0.05;
CYPROCONAZOLE;(Funguicida);Florales y Ornamentales;Exento;
CYPRODINIL;(Fungicida)  ;Arándano;3;
CYPRODINIL;(Fungicida)  ;Frutilla;0.7;
CYPRODINIL;(Fungicida)  ;Tomate;0.5;
CYPRODINIL;(Fungicida)  ;Uva (de mesa)             ;2;
CYPRODINIL;(Fungicida)  ;Uva (vinificación);2;
CYPROSULFAMIDE;(Antidoto de Herbicida);Maíz (grano consumo);0.01;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Alfalfa (forraje);0.1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Caña de azúcar (tallo fresco);0.1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Cereza;3;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Ciruela;1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Damasco;1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Durazno;5;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Cítricos en general;0.2;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Lino (grano consumo);3;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Lino (forraje)                    ;0.1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Maíz (forraje);0.1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Maíz (grano consumo);1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Maíz dulce (grano consumo);0.1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Manzana;1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Papa;0.1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Pera;1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Tréboles (forraje);0.1;
DALAPON  / ACIDO 2,2 DICLOROPROPIONICO;(Herbicida);Uva (de mesa)             ;3;
DAMINOZINE;(Fitorregulador);;Exento;
DAZOMET;(Fungicida - Herbicida -  Nematicida);;Exento;
DELTAMETRINA;(Insecticida);Repollito de Bruselas;1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Acelga;0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Alcaucil;0.05;
DELTAMETRINA / DECAMETRINA;(Insecticida);Alfalfa (forraje);0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Algodón (semilla consumo);0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Arveja (grano consumo);0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Arveja (seca);1;Po
DELTAMETRINA / DECAMETRINA;(Insecticida);Arroz (grano consumo);1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Avena (grano consumo);1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Berenjena;0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Cebada (grano consumo);1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Centeno (grano consumo);1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Coliflor;0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Durazno;0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Endivia;0.05;
DELTAMETRINA / DECAMETRINA;(Insecticida);Girasol (Grano consumo);0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Granos almacenados en general;1;Po
DELTAMETRINA / DECAMETRINA;(Insecticida);Harina blanca de trigo;0.2;
DELTAMETRINA / DECAMETRINA;(Insecticida);Harina integral de trigo;1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Maíz (forraje);0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Maíz (grano consumo);1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Maíz dulce (grano consumo);0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Maní (sin cáscara);0.01;
DELTAMETRINA / DECAMETRINA;(Insecticida);Manzana;0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Papa;0.01;
DELTAMETRINA / DECAMETRINA;(Insecticida);Pasturas consociadas (leguminosas y gramíneas);0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Pera;0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Pimiento;0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Poroto (chaucha);0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Poroto (grano seco);1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Repollo;0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Soja (forraje);0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Soja (grano consumo);0.02;
DELTAMETRINA / DECAMETRINA;(Insecticida);Sorgo (forraje);0.5;
DELTAMETRINA / DECAMETRINA;(Insecticida);Sorgo (grano consumo);1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Tomate;0.1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Trigo (grano consumo);1;
DELTAMETRINA / DECAMETRINA;(Insecticida);Forestales;Exento;
DIALURIN ESTER + POLIET. GLICOL ESTER;(Coadyuvante);;Exento;
DICAMBA;(Herbicida);Alpiste (grano consumo);0.5;
DICAMBA;(Herbicida);Avena (grano, forraje, heno);0.5;
DICAMBA;(Herbicida);Praderas (naturales);0.5;
DICAMBA;(Herbicida);Caña de azúcar (tallo fresco);0.5;
DICAMBA;(Herbicida);Cebada (grano, forraje, heno);0.5;
DICAMBA;(Herbicida);Centeno (grano, forraje, heno);0.5;
DICAMBA;(Herbicida);Lino (grano, forraje, heno);0.5;
DICAMBA;(Herbicida);Maíz (grano, forraje, heno);0.5;
DICAMBA;(Herbicida);Mijo (grano, forraje, heno);0.5;
DICAMBA;(Herbicida);Sorgo (grano, forraje, heno);0.5;
DICAMBA;(Herbicida);Trigo (grano, forraje, heno);0.5;
DICAMBA;(Herbicida);Barbecho químico;Exento;
DICAMBA;(Herbicida);Pasturas de gramíneas;0.5;
DICLOFO  METIL;(Herbicida);Lenteja (grano seco);0.1;
DICLOFOP  METIL;(Herbicida);Lino (grano consumo);0.1;
DICLOFOP  METIL;(Herbicida);Trigo (grano consumo);0.1;
DICLOFOP  METIL;(Herbicida);Trigo (forraje seco);0.1;
DICLORPROP  / 2,4 DP;(Fitorregulador);Manzana;0.05;
DICLORPROP  / 2,4 DP;(Fitorregulador);Pomelo;0.05;
DICLORVOS / DDVP;(Acaricida - Insecticida);Granos almacenados en general;5;Po
DICLORVOS / DDVP;(Acaricida - Insecticida);Tabaco ;Exento;Po
DICLOSULAM;(Herbicida);Algodón (semilla consumo);0.01;
DICLOSULAM;(Herbicida);Maní (sin cáscara);0.01;
DICLOSULAM;(Herbicida);Soja (grano consumo);0.01;
DICOFOL;(Acaricida)  ;Alfalfa (forraje);2;
DICOFOL;(Acaricida)  ;Algodón (semilla consumo);0.1;
DICOFOL;(Acaricida)  ;Berenjena;0.5;
DICOFOL;(Acaricida)  ;Ciruela;2;
DICOFOL;(Acaricida)  ;Damasco;2;
DICOFOL;(Acaricida)  ;Durazno;2;
DICOFOL;(Acaricida)  ;Cítricos en general;3;
DICOFOL;(Acaricida)  ;Manzana;0.5;
DICOFOL;(Acaricida)  ;Melón;0.5;
DICOFOL;(Acaricida)  ;Membrillo;0.5;
DICOFOL;(Acaricida)  ;Papa;0.5;
DICOFOL;(Acaricida)  ;Pepino;0.5;
DICOFOL;(Acaricida)  ;Pera;0.5;
DICOFOL;(Acaricida)  ;Pimiento;0.5;
DICOFOL;(Acaricida)  ;Poroto (grano consumo);0.5;
DICOFOL;(Acaricida)  ;Sandía;0.5;
DICOFOL;(Acaricida)  ;Té;5;
DICOFOL;(Acaricida)  ;Tomate;0.5;
DICOFOL;(Acaricida)  ;Tréboles (forraje);2;
DICOFOL;(Acaricida)  ;Uva (de mesa);3;
DICOFOL;(Acaricida)  ;Florales y ornamentales;Exento;
DIFENILAMINA;(Antiescaldante);Manzana;3;Po
DIFENILAMINA;(Antiescaldante);Pera;3;Po
DIFENOCONAZOLE;(Fungicida)  ;Avena (grano consumo);0.02;
DIFENOCONAZOLE;(Fungicida - Tratamiento de semillas)  ;Avena (grano consumo);Exento;
DIFENOCONAZOLE;(Fungicida);Arándano;0.5;
DIFENOCONAZOLE;(Fungicida)  ;Cebada (grano consumo);0.02;
DIFENOCONAZOLE;(Fungicida - Tratamiento de semillas)  ;Cebadilla criolla ;Exento;
DIFENOCONAZOLE;(Fungicida)  ;Cereza;0.2;
DIFENOCONAZOLE;(Fungicida)  ;Ciruela;0.2;
DIFENOCONAZOLE;(Fungicida)  ;Colza;0.01;
DIFENOCONAZOLE;(Fungicida)  ;Guinda;0.2;
DIFENOCONAZOLE;(Fungicida)  ;Damasco;0.5;
DIFENOCONAZOLE;(Fungicida)  ;Durazno;0.5;
DIFENOCONAZOLE;(Fungicida)  ;Endivia;0.05;
DIFENOCONAZOLE;(Fungicida)  ;Nectarín / Pelón;0.2;
DIFENOCONAZOLE;(Fungicida)  ;Maní (con cáscara);0.1;
DIFENOCONAZOLE;(Fungicida)  ;Cítricos en general;0.2;
DIFENOCONAZOLE;(Fungicida)  ;Frutilla;0.3;
DIFENOCONAZOLE;(Fungicida)  ;Girasol (Grano consumo);0.05;
DIFENOCONAZOLE;(Fungicida)  ;Maní (sin cáscara);0.05;
DIFENOCONAZOLE;(Fungicida)  ;Manzana;0.2;
DIFENOCONAZOLE;(Fungicida)  ;Papa;0.05;
DIFENOCONAZOLE;(Fungicida)  ;Papa (pelada);0.02;
DIFENOCONAZOLE;(Fungicida)  ;Pera;0.05;
DIFENOCONAZOLE;(Fungicida)  ;Pimiento;1.1;
DIFENOCONAZOLE;(Fungicida)  ;Radiccio;0.05;
DIFENOCONAZOLE;(Fungicida)  ;Soja (grano consumo);0.1;
DIFENOCONAZOLE;(Fungicida)  ;Tomate;0.45;
DIFENOCONAZOLE;(Fungicida)  ;Trigo (forraje);0.02;
DIFENOCONAZOLE;(Fungicida)  ;Trigo (grano consumo);0.02;
DIFENOCONAZOLE;(Fungicida)  ;Uva (de mesa y vinificación);0.9;
DIFENOCONAZOLE;(Fungicida)  ;Florales y ornamentales;Exento;
DIFENOCONAZOLE;(Fungicida)  ;Zapallito de tronco;0.001;
DIFETIALONE;(Rodenticida);;Exento;
DIFLUBENZURON;(Insecticida);Algodón (semilla consumo);0.2;
DIFLUBENZURON;(Insecticida);Maíz (grano consumo);0.05;
DIFLUBENZURON;(Insecticida);Manzana;5;
DIFLUBENZURON;(Insecticida);Soja (grano consumo);0.05;
DIFLUFENICAN;(Herbicida);Girasol (Grano consumo);0.05;
DIFLUFENICAN;(Herbicida);Pasturas consociadas (leguminosas y gramíneas);1;
DIFLUFENICAN;(Herbicida);Soja;0.01;
DIMETENAMIDA;(Herbicida);Algodón (semilla consumo);0.01;
DIMETENAMIDA;(Herbicida);Maíz (grano consumo);0.02;
DIMETENAMIDA;(Herbicida);Maíz (forraje);0.02;
DIMETENAMIDA;(Herbicida);Maní (sin cáscara);0.01;
DIMETENAMIDA;(Herbicida);Poroto (grano consumo);0.02;
DIMETENAMIDA;(Herbicida);Soja (grano consumo);0.02;
DIMETENAMIDA;(Herbicida);Sorgo (grano consumo);0.01;
DIMETIL DISULFURO;(Insecticida - Nematicida - Fungicida); ;Exento;
DIMETIPHIN;(Defoliante);Algodón (semilla consumo);0.5;
DIMETOATO;(Acaricida - Insecticida);Aceituna (fresca);1;
DIMETOATO;(Acaricida - Insecticida);Aceituna (elaborada);0.05;
DIMETOATO;(Acaricida - Insecticida);Aceituna (aceite refinado);0.05;
DIMETOATO;(Acaricida - Insecticida);Achicoria ;0.05;
DIMETOATO;(Acaricida - Insecticida);Ajo (consumo);0.05;
DIMETOATO;(Acaricida - Insecticida);Alcaucil;1;
DIMETOATO;(Acaricida - Insecticida);Alfalfa (forraje);2;
DIMETOATO;(Acaricida - Insecticida);Algodón (semilla consumo);0.1;
DIMETOATO;(Acaricida - Insecticida);Avena (grano consumo);0.2;
DIMETOATO;(Acaricida - Insecticida);Batata;0.05;
DIMETOATO;(Acaricida - Insecticida);Caña de azúcar (tallo fresco);0.5;
DIMETOATO;(Acaricida - Insecticida);Cebada (grano consumo);0.2;
DIMETOATO;(Acaricida - Insecticida);Cebolla (consumo);0.05;
DIMETOATO;(Acaricida - Insecticida);Centeno (grano consumo);0.2;
DIMETOATO;(Acaricida - Insecticida);Colinabo;0.05;
DIMETOATO;(Acaricida - Insecticida);Damasco;0.5;
DIMETOATO;(Acaricida - Insecticida);Durazno;0.5;
DIMETOATO;(Acaricida - Insecticida);Haba;0.5;
DIMETOATO;(Acaricida - Insecticida);Maíz (grano consumo);0.2;
DIMETOATO;(Acaricida - Insecticida);Manzana;0.5;
DIMETOATO;(Acaricida - Insecticida);Papa;0.05;
DIMETOATO;(Acaricida - Insecticida);Pera;0.5;
DIMETOATO;(Acaricida - Insecticida);Poroto (grano consumo);0.5;
DIMETOATO;(Acaricida - Insecticida);Praderas (naturales);2;
DIMETOATO;(Acaricida - Insecticida);Puerro;0.05;
DIMETOATO;(Acaricida - Insecticida);Remolacha (raíz);0.05;
DIMETOATO;(Acaricida - Insecticida);Repollo;2;
DIMETOATO;(Acaricida - Insecticida);Soja (forraje);2;
DIMETOATO;(Acaricida - Insecticida);Soja (grano consumo);0.05;
DIMETOATO;(Acaricida - Insecticida);Sorgo (forraje);2;
DIMETOATO;(Acaricida - Insecticida);Sorgo (grano consumo);0.2;
DIMETOATO;(Acaricida - Insecticida);Tabaco ;Exento;
DIMETOATO;(Acaricida - Insecticida);Tomate;1;
DIMETOATO;(Acaricida - Insecticida);Trigo (grano consumo);0.2;
DIMETOATO;(Acaricida - Insecticida);Uva (de mesa);0.02;
DIMETOATO;(Acaricida - Insecticida);Yerba Mate;0.5;
DIMETOATO;(Acaricida - Insecticida);Zanahoria;0.05;
DIMETOMORF;(Fungicida)  ;Papa                            ;0.1;
DIMETOMORF;(Fungicida)  ;Uva (de mesa);2;
DIMETSULFURON  / NICOSULFURON;(Herbicida);Maíz (forraje);0.05;
DIMETSULFURON  / NICOSULFURON;(Herbicida);Maíz (grano consumo);0.05;
DIMETSULFURON  / NICOSULFURON;(Herbicida);Maíz (silaje);0.05;
DIMOXISTROBIN;(Fungicida);Trigo (grano consumo);0.1;
DINICONAZOLE;(Tratamiento de semillas);;Exento;
DINOTEFURAN;(Insecticida);Algodón;0.1;
DINOTEFURAN;(Insecticida);Arroz (grano consumo);0.2;
DINOTEFURAN;(Insecticida);Papa;0.2;
DINOTEFURAN;(Insecticida);Soja ;0.01;
DINOTEFURAN;(Insecticida);Tomate;0.2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Alfalfa (forraje);50;
DIQUAT DIBROMURO;(Desecante - Herbicida);Alpiste (grano consumo);2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Arveja (grano consumo);0.2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Caña de azúcar (tallo fresco);0.1;
DIQUAT DIBROMURO;(Desecante - Herbicida);Cebada (grano consumo) ;2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Colza (grano consumo);2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Colza (aceite);0.1;
DIQUAT DIBROMURO;(Desecante - Herbicida);Girasol (aceite);0.1;
DIQUAT DIBROMURO;(Desecante - Herbicida);Girasol (Grano consumo);1;
DIQUAT DIBROMURO;(Desecante - Herbicida);Lenteja (grano consumo);0.2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Lino (torta);5;
DIQUAT DIBROMURO;(Desecante - Herbicida);Maíz (grano consumo);0.1;
DIQUAT DIBROMURO;(Desecante - Herbicida);Papa;0.05;
DIQUAT DIBROMURO;(Desecante - Herbicida);Poroto (grano consumo);0.2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Salvado de trigo;5;
DIQUAT DIBROMURO;(Desecante - Herbicida);Soja (grano consumo);0.2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Sorgo (grano consumo);2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Trébol rojo (forraje);50;
DIQUAT DIBROMURO;(Desecante - Herbicida);Trébol blanco (forraje);50;
DIQUAT DIBROMURO;(Desecante - Herbicida);Trigo (grano consumo);2;
DIQUAT DIBROMURO;(Desecante - Herbicida);Harina blanca de trigo;0.5;
DITIANON;(Fungicida)  ;Durazno;2;
DITIANON;(Fungicida)  ;Cítricos en general;10;
DITIANON;(Fungicida)  ;Manzana;2;
DITIANON;(Fungicida)  ;Pera;2;
DITIANON;(Fungicida)  ;Uva (de mesa);1;
DIURON;(Herbicida);Ajo (consumo);0.2;
DIURON;(Herbicida);Algodón (semilla consumo);0.5;
DIURON;(Herbicida);Banana (con cáscara);0.1;
DIURON;(Herbicida);Barbecho químico ;Exento;
DIURON;(Herbicida);Caña de azúcar (tallo fresco);0.5;
DIURON;(Herbicida);Cebolla (consumo);0.2;
DIURON;(Herbicida);Cítricos en general;0.5;
DIURON;(Herbicida);Lino (grano consumo);1;
DIURON;(Herbicida);Maíz (forraje);2;
DIURON;(Herbicida);Maíz (grano consumo);0.2;
DIURON;(Herbicida);Maíz dulce (grano consumo);0.5;
DIURON;(Herbicida);Papa;0.2;
DIURON;(Herbicida);Uva (de mesa) ;0.5;
DODECADIENOL;(Feromona);;Exento;
DODECENILACETATO;(Feromona);;Exento;
DODECIL BENCENO SULF TRIETANOLAMIDA;(Coadyuvante);;Exento;
EPOXICONAZOLE;(Fungicida)  ;Ajo (consumo);0.02;
EPOXICONAZOLE;(Fungicida)  ;Algodón;0.3;
EPOXICONAZOLE;(Fungicida)  ;Arroz (grano consumo);0.01;
EPOXICONAZOLE;(Fungicida)  ;Avena (forraje);0.05;
EPOXICONAZOLE;(Fungicida)  ;Avena (grano consumo);0.05;
EPOXICONAZOLE;(Fungicida)  ;Cebada (forraje);0.2;
EPOXICONAZOLE;(Fungicida)  ;Cebada (grano consumo);0.05;
EPOXICONAZOLE;(Fungicida)  ;Centeno (forraje);0.2;
EPOXICONAZOLE;(Fungicida)  ;Centeno (grano consumo);0.05;
EPOXICONAZOLE;(Fungicida)  ;Garbanzo (Grano consumo);0.1;
EPOXICONAZOLE;(Fungicida)  ;Girasol (Grano consumo);0.04;
EPOXICONAZOLE;(Fungicida)  ;Girasol (aceite);0.04;
EPOXICONAZOLE;(Fungicida)  ;Maíz (grano consumo);0.05;
EPOXICONAZOLE;(Fungicida)  ;Maíz (aceite);0.5;
EPOXICONAZOLE;(Fungicida)  ;Maní (sin cáscara);0.05;
EPOXICONAZOLE;(Fungicida)  ;Soja (grano consumo);0.05;
EPOXICONAZOLE;(Fungicida)  ;Trigo (forraje);0.2;
EPOXICONAZOLE;(Fungicida)  ;Trigo (grano consumo);0.05;
ESFENVALERATO;(Insecticida);Algodón (semilla consumo);0.2;
ESFENVALERATO;(Insecticida);Algodón (semilla consumo);0.2;Po
ESFENVALERATO;(Insecticida);Arroz (grano consumo);0.1;Po
ESFENVALERATO;(Insecticida);Avena (grano consumo);0.1;Po
ESFENVALERATO;(Insecticida);Cebada (grano consumo);0.1;Po
ESFENVALERATO;(Insecticida);Centeno (grano consumo);0.1;Po
ESFENVALERATO;(Insecticida);Girasol (Grano consumo);0.1;
ESFENVALERATO;(Insecticida);Maíz (grano consumo);0.1;Po
ESFENVALERATO;(Insecticida);Manzana;1;
ESFENVALERATO;(Insecticida);Pasturas consociadas (leguminosas y gramíneas);10;
ESFENVALERATO;(Insecticida);Papa;0.5;
ESFENVALERATO;(Insecticida);Pera;0.5;
ESFENVALERATO;(Insecticida);Soja (grano consumo);0.015;
ESFENVALERATO;(Insecticida);Soja (grano consumo);0.015;Po
ESFENVALERATO;(Insecticida);Sorgo (grano consumo);0.2;
ESFENVALERATO;(Insecticida);Sorgo (grano consumo);0.2;Po
ESFENVALERATO;(Insecticida);Trigo (grano consumo);0.1;Po
